test_name task_name gold_standard_file coverage model model_configuration metric score_value
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.2028084714548803 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 0.054665121043877
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.2028084714548803 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" homogeneity_score 0.052757842159724
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.2028084714548803 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" completeness_score 0.057428769878847
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.2028084714548803 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" v_measure_score 0.054994303221425005
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.2028084714548803 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 0.054994303221425005
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.2028084714548803 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" clustering_accuracy 0.515423572744015
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 DBSCAN metric=cosine adjusted_rand_index 0.058882726149301
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 DBSCAN metric=cosine adjusted_mutual_info_score 0.11750038643358306
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 DBSCAN metric=cosine homogeneity_score 0.162511654912328
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 DBSCAN metric=cosine completeness_score 0.263961606056832
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 DBSCAN metric=cosine v_measure_score 0.201170114797484
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 DBSCAN metric=cosine normalized_mutual_info_score 0.201170114797484
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 DBSCAN metric=cosine clustering_accuracy 0.329243353783231
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 KMeans "metric=enclidean, n_clusters=5" adjusted_rand_index 0.063136817054085
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 KMeans "metric=enclidean, n_clusters=5" adjusted_mutual_info_score 0.22386875682933904
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 KMeans "metric=enclidean, n_clusters=5" homogeneity_score 0.1505049677208
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 KMeans "metric=enclidean, n_clusters=5" completeness_score 0.44671709526950704
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 KMeans "metric=enclidean, n_clusters=5" v_measure_score 0.225152907671323
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 KMeans "metric=enclidean, n_clusters=5" normalized_mutual_info_score 0.225152907671323
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 KMeans "metric=enclidean, n_clusters=5" clustering_accuracy 0.3866603743904361
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 "Agglomerative clustering" "metric=cosine, n_clusters=5" adjusted_rand_index 0.064311388471537
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 "Agglomerative clustering" "metric=cosine, n_clusters=5" adjusted_mutual_info_score 0.227204286414154
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 "Agglomerative clustering" "metric=cosine, n_clusters=5" homogeneity_score 0.15185329275867002
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 "Agglomerative clustering" "metric=cosine, n_clusters=5" completeness_score 0.461349773908506
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 "Agglomerative clustering" "metric=cosine, n_clusters=5" v_measure_score 0.228496842529652
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 "Agglomerative clustering" "metric=cosine, n_clusters=5" normalized_mutual_info_score 0.228496842529652
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 "Agglomerative clustering" "metric=cosine, n_clusters=5" clustering_accuracy 0.3945257196790939
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 "Ward hierarchical clustering" "metric=cosine, n_clusters=5" adjusted_rand_index 0.06308880260099
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 "Ward hierarchical clustering" "metric=cosine, n_clusters=5" adjusted_mutual_info_score 0.21513434384677696
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 "Ward hierarchical clustering" "metric=cosine, n_clusters=5" homogeneity_score 0.14445291118254502
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 "Ward hierarchical clustering" "metric=cosine, n_clusters=5" completeness_score 0.431428700696704
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 "Ward hierarchical clustering" "metric=cosine, n_clusters=5" v_measure_score 0.216437304118712
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 "Ward hierarchical clustering" "metric=cosine, n_clusters=5" normalized_mutual_info_score 0.216437304118712
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.10319333018719523 "Ward hierarchical clustering" "metric=cosine, n_clusters=5" clustering_accuracy 0.387289602013528
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 DBSCAN metric=cosine adjusted_rand_index -0.008978272377779
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 DBSCAN metric=cosine adjusted_mutual_info_score -0.000911744213921
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 DBSCAN metric=cosine homogeneity_score 0.014370634691057
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 DBSCAN metric=cosine completeness_score 0.0009947667085289998
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 DBSCAN metric=cosine v_measure_score 0.001860729648298
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 DBSCAN metric=cosine normalized_mutual_info_score 0.001860729648298
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 DBSCAN metric=cosine clustering_accuracy 0.9087018544935808
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 KMeans "metric=enclidean, n_clusters=2" adjusted_rand_index -0.008776222536583
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 KMeans "metric=enclidean, n_clusters=2" adjusted_mutual_info_score 0.001030163745296
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 KMeans "metric=enclidean, n_clusters=2" homogeneity_score 0.014370634691055
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 KMeans "metric=enclidean, n_clusters=2" completeness_score 0.001314375162388
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 KMeans "metric=enclidean, n_clusters=2" v_measure_score 0.00240846585143
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 KMeans "metric=enclidean, n_clusters=2" normalized_mutual_info_score 0.00240846585143
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 KMeans "metric=enclidean, n_clusters=2" clustering_accuracy 0.9087018544935808
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_rand_index -0.008781308145124001
